Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4480.216208,31,OPTIMAL,594.2762922,4,0,5074.4925,13.68022455,No,0,0,0.607782572,977.7777778,,,,,,,,,
4661.975823,32,OPTIMAL,674.1503761,4,0.004538691,5339.6175,1.543337504,No,3.491300741,0.065384847,0.689471976,977.7777778,,,,,,,,,
4718.848351,33,OPTIMAL,801.6220841,4,0.214753915,5535.81,17.44669921,No,15.33956537,0.277097035,0.819840768,977.7777778,,,,,,,,,
4559.985537,34,OPTIMAL,625.8594631,4,0,5185.845,15.26433597,No,0,0,0.640083542,977.7777778,,,,,,,,,
4625.92398,35,OPTIMAL,650.0635203,4,0,5275.9875,30.97268758,No,0,0,0.664837691,977.7777778,,,,,,,,,
4625.92398,36,OPTIMAL,650.0635203,4,0,5275.9875,0.818146464,No,0,0,0.664837691,977.7777778,,,,,,,,,
4614.285691,37,OPTIMAL,645.7943092,4,0,5260.08,11.7517112,No,0,0,0.660471453,977.7777778,,,,,,,,,
4465.062659,38,OPTIMAL,588.2198415,4,0,5053.2825,21.81866198,No,0,0,0.601588474,977.7777778,,,,,,,,,
4671.57598,39,OPTIMAL,699.0762105,4,0.163019306,5376.735,32.10129083,No,6.082809929,0.113132039,0.714964306,977.7777778,,,,,,,,,
4457.485884,40,OPTIMAL,585.1916161,4,0,5042.6775,14.31831055,No,0,0,0.598491426,977.7777778,,,,,,,,,
4465.062659,41,OPTIMAL,588.2198415,4,0,5053.2825,8.223113813,No,0,0,0.601588474,977.7777778,,,,,,,,,
4556.110579,42,OPTIMAL,624.4319205,4,0,5180.5425,10.00918723,No,0,0,0.638623555,977.7777778,,,,,,,,,
4703.853389,43,OPTIMAL,771.4298648,4,0.204867935,5488.0875,19.69934475,No,12.80424595,0.2333098,0.788962362,977.7777778,,,,,,,,,
4571.611964,44,OPTIMAL,630.1405355,4,0,5201.7525,27.34887657,No,0,0,0.644461911,977.7777778,,,,,,,,,
4668.833078,45,OPTIMAL,691.9545435,4,0.08547806,5366.13,19.11637071,No,5.342378732,0.099557386,0.707680783,977.7777778,,,,,,,,,
4476.42782,46,OPTIMAL,592.7621795,4,0,5069.19,31.72425783,No,0,0,0.606234047,977.7777778,,,,,,,,,
4687.524523,47,OPTIMAL,737.6434431,4,0.015831255,5435.0625,1.943805061,No,9.894534231,0.182050054,0.754408067,977.7777778,,,,,,,,,
4722.983639,48,OPTIMAL,807.7662222,4,0.452722522,5546.415,36.1194364,No,15.66513916,0.282437199,0.826124545,977.7777778,,,,,,,,,
4616.148583,1,OPTIMAL,817.6178999,5,0.011877331,5440.365,2.179520256,No,6.598517172,0.121288134,0.766516781,1066.666667,,,,,,,,,
4445.162275,2,OPTIMAL,699.7474251,5,0,5144.9097,32.45158965,No,0,0,0.656013211,1066.666667,,,,,,,,,
4530.893898,3,OPTIMAL,732.5372821,5,0,5263.43118,17.01413689,No,0,0,0.686753702,1066.666667,,,,,,,,,
