id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
344,SS_362,SS_206,230,3.8,0.00208,558
345,SS_637,SS_403,240,19.3,0.00838,624
346,SS_279,SS_322,230,44.2,0.02414,558
347,SS_265,SS_446,230,1.7,0.00091,558
348,SS_265,SS_446,230,1.7,0.00092,558
349,SS_265,SS_446,230,1.7,0.0009,558
350,SS_352,VS_999,230,8.7,0.00478,558
351,VS_886,SS_446,230,8.9,0.00486,558
352,SS_265,SS_446,230,1.5,0.00081,558
353,SS_528,SS_220,240,4,0.00172,624
354,SS_801,SS_473,315,6,0.00122,928
355,SS_711,SS_464,230,336.4,0.18376,558
356,VS_903,SS_255,230,22,0.01199,558
357,SS_255,SS_681,230,11.3,0.00615,558
358,SS_421,SS_798,230,76.9,0.04203,558
359,SS_379,SS_266,500,309.3,0.01559,1039
360,SS_413,SS_709,230,114.9,0.0628,558
361,SS_413,VS_1000,230,8,0.0044,558
362,SS_377,SS_226,230,11.4,0.00621,558
363,SS_195,SS_385,230,15.3,0.00835,558
364,SS_388,SS_503,230,68.9,0.03762,558
365,SS_16,SS_752,230,102.5,0.05598,558
366,VS_1001,VS_1002,230,7.8,0.00425,558
367,SS_455,SS_528,240,16.5,0.00714,624
368,SS_325,SS_149,735,369,0.00683,1910
369,SS_330,SS_329,735,95.8,0.00177,1910
370,SS_95,SS_475,735,432.7,0.00801,3819
371,VS_921,SS_181,315,16.5,0.00333,928
372,SS_380,VS_961,230,17.9,0.00979,558
373,SS_256,SS_659,230,10.3,0.00561,558
374,SS_256,SS_33,230,81.5,0.04454,558
375,SS_399,SS_372,500,116.5,0.00587,1039
376,SS_399,SS_560,500,29.6,0.00149,1039
377,VS_1004,SS_401,240,10.5,0.00456,624
378,SS_431,VS_1004,240,209.6,0.09097,624
379,VS_1005,SS_401,240,43.9,0.01907,624
380,VS_1006,SS_248,240,2.4,0.00104,624
381,VS_1006,SS_420,240,145.9,0.06332,624
382,VS_1007,SS_403,240,37.6,0.0163,624
383,VS_1008,SS_783,240,104.9,0.04553,624
384,SS_403,SS_8,240,28.3,0.0123,624
385,SS_8,SS_434,240,177.5,0.07705,624
386,VS_1007,SS_530,240,13.1,0.00567,624
387,SS_211,VS_1009,240,36.3,0.01575,624
388,VS_1010,VS_1009,240,5.9,0.00256,624
389,SS_248,SS_405,240,48.1,0.02089,624
390,VS_1011,SS_405,240,40.6,0.01764,624
391,SS_405,VS_1012,240,1.6,0.00069,624
392,SS_406,VS_1013,240,142.6,0.06188,624
393,VS_1014,VS_1012,240,232.7,0.10099,624
394,SS_405,VS_1013,240,32.5,0.01409,624
395,SS_399,VS_1012,240,229.1,0.09943,624
396,VS_1015,SS_527,240,88.4,0.03838,624
397,SS_529,VS_1016,240,43.8,0.019,624
398,SS_559,VS_1016,240,198.6,0.08622,624
399,SS_268,SS_429,230,143.8,0.07854,558
400,SS_790,SS_412,230,72.8,0.03977,558
401,VS_1009,VS_1017,240,152,0.06598,624
402,VS_1018,VS_1019,230,1,0.00056,558
403,SS_415,VS_1018,230,1.2,0.00066,558
404,VS_1019,VS_1018,230,1,0.00056,558
405,SS_420,VS_1007,240,44.6,0.01935,624
406,SS_418,SS_427,230,147.6,0.08063,558
407,SS_418,VS_1020,230,44.2,0.02414,558
408,SS_361,SS_418,230,52.7,0.02881,558
409,SS_427,SS_418,230,147.7,0.08067,558
410,SS_418,SS_561,230,67.4,0.03681,558
411,SS_561,SS_797,230,1.1,0.0006,558
412,SS_686,SS_589,230,158.8,0.08674,558
413,SS_421,SS_589,230,159.6,0.08722,558
414,SS_421,SS_686,230,0.5,0.00028,558
415,SS_846,SS_224,230,96.9,0.05291,558
416,SS_422,SS_423,230,9.8,0.00533,558
417,SS_422,SS_224,230,66.5,0.03632,558
418,SS_224,SS_757,230,23.3,0.01275,558
419,SS_424,SS_429,230,114,0.06229,558
420,SS_424,SS_844,230,43.3,0.02364,558
421,VS_1021,SS_425,230,189.5,0.10353,558
422,SS_426,SS_856,230,128.3,0.07011,558
423,VS_1022,SS_375,230,81.7,0.04461,558
424,SS_208,VS_945,230,7.7,0.00421,558
425,VS_1022,VS_1023,230,2.1,0.00114,558
426,SS_431,SS_438,240,105.7,0.0459,624
427,SS_558,SS_431,240,2.7,0.00115,624
428,SS_558,SS_431,240,2.9,0.00125,624
429,SS_431,SS_438,240,102.8,0.04462,624
